"","event_time","event_type","product_id","category_id","category_code","brand","price","user_id","user_session"
"1","2019-10-01 00:00:00 UTC","view",44600062,2103807459595387648,"","shiseido",35.79,541312140,"72d76fde-8bb3-4e00-8c23-a032dfed738c"
"2","2019-10-01 00:00:00 UTC","view",3900821,2053013552326770944,"appliances.environment.water_heater","aqua",33.2,554748717,"9333dfbd-b87a-4708-9857-6336556b0fcc"
"3","2019-10-01 00:00:01 UTC","view",17200506,2053013559792632576,"furniture.living_room.sofa","",543.1,519107250,"566511c2-e2e3-422b-b695-cf8e6e792ca8"
"4","2019-10-01 00:00:01 UTC","view",1307067,2053013558920217088,"computers.notebook","lenovo",251.74,550050854,"7c90fc70-0e80-4590-96f3-13c02c18c713"
"5","2019-10-01 00:00:04 UTC","view",1004237,2053013555631882752,"electronics.smartphone","apple",1081.98,535871217,"c6bd7419-2748-4c56-95b4-8cec9ff8b80d"
"6","2019-10-01 00:00:05 UTC","view",1480613,2053013561092866816,"computers.desktop","pulser",908.62,512742880,"0d0d91c2-c9c2-4e81-90a5-86594dec0db9"
"7","2019-10-01 00:00:08 UTC","view",17300353,2053013553853497600,"","creed",380.96,555447699,"4fe811e9-91de-46da-90c3-bbd87ed3a65d"
"8","2019-10-01 00:00:08 UTC","view",31500053,2053013558031024640,"","luminarc",41.16,550978835,"6280d577-25c8-4147-99a7-abc6048498d6"
"9","2019-10-01 00:00:10 UTC","view",28719074,2053013565480109056,"apparel.shoes.keds","baden",102.71,520571932,"ac1cd4e5-a3ce-4224-a2d7-ff660a105880"
"10","2019-10-01 00:00:11 UTC","view",1004545,2053013555631882752,"electronics.smartphone","huawei",566.01,537918940,"406c46ed-90a4-4787-a43b-59a410c1a5fb"
"11","2019-10-01 00:00:11 UTC","view",2900536,2053013554776244480,"appliances.kitchen.microwave","elenberg",51.46,555158050,"b5bdd0b3-4ca2-4c55-939e-9ce44bb50abd"
"12","2019-10-01 00:00:11 UTC","view",1005011,2053013555631882752,"electronics.smartphone","samsung",900.64,530282093,"50a293fb-5940-41b2-baf3-17af0e812101"
"13","2019-10-01 00:00:13 UTC","view",3900746,2053013552326770944,"appliances.environment.water_heater","haier",102.38,555444559,"98b88fa0-d8fa-4b9d-8a71-3dd403afab85"
"14","2019-10-01 00:00:15 UTC","view",44600062,2103807459595387648,"","shiseido",35.79,541312140,"72d76fde-8bb3-4e00-8c23-a032dfed738c"
